n, x0, x1, x2, s, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
78, 0.560305847686, -1.99997459737, -1.14649697709, 1e-09, [nan], 1.6184394631, 1.0, nan, nan, nan, nan,2.45193886757, 0.122693061829, 8.60691070557e-05, 16:31:22  04-07-16
79, -1.20714152653, -1.99999153246, 0.287075140985, 1e-09, [nan], 2.08126083528, 1.0, nan, nan, nan, nan,2.48916387558, 0.126306056976, 8.70227813721e-05, 16:31:24  04-07-16
80, 0.398338667886, -0.500457247371, -1.11774119799, 1e-09, [nan], 1.90214830688, 1.0, 0.619341563786, -1.44238683128, -1.24074074074, 1.58565517073,2.54961705208, 0.126452922821, 2.14713811874, 16:31:29  04-07-16
81, 0.639460448102, -1.39620484682, -1.26360310928, 1e-09, [nan], 1.60318223025, 1.0, nan, nan, nan, nan,2.5851919651, 0.125946044922, 8.79764556885e-05, 16:31:32  04-07-16
82, -0.167428745618, -1.9999237921, 0.318320377991, 1e-09, [nan], 1.75733244166, 1.0, nan, nan, nan, nan,2.61851096153, 0.126475095749, 8.89301300049e-05, 16:31:35  04-07-16
83, -0.0761316872428, -1.38523090992, 0.256134735559, 1e-09, [nan], 1.70233718859, 1.0, nan, nan, nan, nan,2.70571804047, 0.123773097992, 8.89301300049e-05, 16:31:38  04-07-16
84, -0.4649951735, -1.99997459737, 0.314814814815, 1e-09, [nan], 1.87470321925, 1.0, 0.520576131687, -1.03909465021, -1.22839506173, 1.59280235575,3.72218585014, 0.122093200684, 2.30179095268, 16:31:44  04-07-16
85, -0.310902809531, -1.99999153246, 0.25179935308, 1e-09, [nan], 1.93201954242, 1.0, nan, nan, nan, nan,2.88885402679, 0.123138904572, 8.51154327393e-05, 16:31:47  04-07-16
86, -0.827152026283, -1.99999153246, 0.283959084828, 1e-09, [nan], 2.03720414097, 1.0, nan, nan, nan, nan,2.94018006325, 0.124184131622, 8.39233398438e-05, 16:31:51  04-07-16
87, 0.236625514403, -1.59465020576, -0.75971650663, 1e-09, [nan], 2.03052154556, 1.0, nan, nan, nan, nan,2.78511714935, 0.121972799301, 8.41617584229e-05, 16:31:54  04-07-16
