n, x0, x1, x2, s, xa, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
59, -0.271604938272, 0.987654320988, -0.814814814815, 1e-06, 0.265432098765, [nan], 11.0154225309, 0.888403999999, 0.203017832647, -0.222222222222, 0.998628257888, 50.553432972,13.3536539078, 0.809858083725, 2.03966879845, 12:52:22  06-07-16
60, -0.0493827160494, -0.987654320988, -0.666666666667, 1e-06, 0.141975308642, [nan], 8.3549053534, 0.872877, 0.205761316872, -0.219478737997, 0.998628257888, 50.5616673742,12.5048658848, 0.794271945953, 1.75400805473, 12:52:38  06-07-16
61, -0.172839506173, 0.987654320988, -0.666666666667, 1e-06, 0.154320987654, [nan], 10.9509129748, 0.869446000001, 0.208504801097, -0.222222222222, 0.998628257888, 50.5665418918,13.3923530579, 0.790862083435, 1.86423802376, 12:52:55  06-07-16
62, -0.172839506173, 0.987654320988, -0.592592592593, 1e-06, 0.141975308642, [nan], 10.9283162023, 0.88708, 0.211248285322, -0.222222222222, 0.998628257888, 50.5804416538,14.0062630177, 0.808562994003, 2.0287630558, 12:53:12  06-07-16
63, 0.0, 0.987654320988, -0.469135802469, 1e-06, 0.635802469136, [nan], 10.8022580702, 0.864426, 0.211248285322, -0.222222222222, 0.998628257888, 50.6194576008,14.2097768784, 0.785830020905, 1.47471904755, 12:53:30  06-07-16
64, -0.197530864198, 0.987654320988, -0.938271604938, 1e-06, 0.166666666667, [nan], 11.010772535, 0.873832, 0.213991769547, -0.219478737997, 0.998628257888, 50.5970042566,12.9479961395, 0.795229911804, 2.28655791283, 12:53:46  06-07-16
65, -0.123456790123, 0.320987654321, -0.666666666667, 1e-06, 0.12962962963, [nan], 31.6632942098, 0.863745, 0.186556927298, -0.230452674897, 0.998628257888, 50.4610308576,16.4528429508, 0.785119056702, 2.63340091705, 12:54:07  06-07-16
66, -0.345679012346, 0.962962962963, -0.938271604938, 1e-06, 0.154320987654, [nan], 11.3670139148, 0.885818000001, 0.186556927298, -0.238683127572, 0.998628257888, 50.446784545,15.4035511017, 0.807220935822, 2.46923995018, 12:54:27  06-07-16
67, -0.148148148148, 0.987654320988, -0.716049382716, 1e-06, 0.154320987654, [nan], 10.9254039949, 0.894192, 0.186556927298, -0.238683127572, 0.998628257888, 50.446784545,15.0662679672, 0.81591296196, 2.10818505287, 12:54:45  06-07-16
68, -0.296296296296, 0.987654320988, -0.395061728395, 1e-06, 0.117283950617, [nan], 10.977406266, 0.876507999999, 0.189300411523, -0.235939643347, 0.998628257888, 50.4602720836,14.3564729691, 0.797924041748, 2.88431096077, 12:55:04  06-07-16
69, -0.0493827160494, -0.987654320988, -0.740740740741, 1e-06, 0.12962962963, [nan], 8.5016287137, 0.862965, 0.194787379973, -0.238683127572, 0.998628257888, 50.4798333993,16.6521959305, 0.784363031387, 2.36329293251, 12:55:25  06-07-16
70, -0.444444444444, 0.987654320988, -0.938271604938, 1e-06, 0.154320987654, [nan], 11.1533773416, 0.873477, 0.194787379973, -0.238683127572, 0.998628257888, 50.4802740096,17.2242519855, 0.794893980026, 3.14793086052, 12:55:47  06-07-16
71, -0.493827160494, 0.987654320988, -0.814814814815, 1e-06, 0.141975308642, [nan], 11.1625365988, 0.895606, 0.197530864198, -0.238683127572, 0.998628257888, 50.4932554159,16.1220769882, 0.817142009735, 2.38993501663, 12:56:07  06-07-16
72, -0.197530864198, -0.987654320988, -0.740740740741, 1e-06, 0.141975308642, [nan], 11.6118973023, 0.857698000001, 0.200274348422, -0.246913580247, 0.998628257888, 50.4896166132,17.6035690308, 0.77910399437, 2.86644697189, 12:56:29  06-07-16
73, -0.345679012346, 0.987654320988, -0.962962962963, 1e-06, 0.154320987654, [nan], 11.0817317748, 0.889577, 0.200274348422, -0.246913580247, 0.998628257888, 50.488226834,16.6132731438, 0.811053991318, 2.90820884705, 12:56:50  06-07-16
74, 0.172839506173, -0.37037037037, -0.79012345679, 1e-06, 0.141975308642, [nan], 4.9093811818, 0.869013, 0.260631001372, -0.238683127572, 0.998628257888, 50.7795997441,18.3517940044, 0.790474891663, 3.09136605263, 12:57:14  06-07-16
75, -0.0246913580247, -0.987654320988, -0.814814814815, 1e-06, 0.154320987654, [nan], 8.13774590837, 0.854593, 0.260631001372, -0.238683127572, 0.998628257888, 50.7780812542,17.9106199741, 0.776000022888, 3.04159212112, 12:57:36  06-07-16
76, 0.123456790123, 0.962962962963, -0.987654320988, 1e-06, 0.141975308642, [nan], 11.019043931, 0.859775999999, 0.255144032922, -0.244170096022, 0.998628257888, 50.7424948943,13.8466439247, 0.781172990799, 2.13761591911, 12:57:54  06-07-16
77, -0.0987654320988, 0.987654320988, -0.740740740741, 1e-06, 0.265432098765, [nan], 10.8874869701, 0.84645, 0.255144032922, -0.244170096022, 0.998628257888, 50.75282262,12.0615000725, 0.767830133438, 2.15055990219, 12:58:09  06-07-16
78, -0.197530864198, 0.987654320988, -0.592592592593, 1e-06, 0.141975308642, [nan], 10.96309657, 0.884826, 0.260631001372, -0.238683127572, 0.998628257888, 50.7795997441,12.3478589058, 0.807233095169, 2.13535094261, 12:58:26  06-07-16
79, -0.222222222222, 0.987654320988, -0.987654320988, 1e-06, 0.611111111111, [nan], 11.014270405, 0.870898, 0.260631001372, -0.238683127572, 0.998628257888, 50.8195936161,12.1302349567, 0.793388128281, 2.1415989399, 12:58:41  06-07-16
80, -0.41975308642, 0.987654320988, -0.987654320988, 1e-06, 0.462962962963, [nan], 11.1474745603, 0.876231, 0.260631001372, -0.238683127572, 0.998628257888, 50.807113007,12.4562029839, 0.798806190491, 2.18633389473, 12:58:58  06-07-16
81, -0.320987654321, 0.987654320988, -0.987654320988, 1e-06, 0.277777777778, [nan], 11.0634982092, 0.840055000001, 0.260631001372, -0.238683127572, 0.998628257888, 50.7915594221,12.5565471649, 0.761474847794, 2.24563598633, 12:59:14  06-07-16
82, 0.148148148148, 0.987654320988, -0.567901234568, 1e-06, 0.12962962963, [nan], 10.7179149524, 0.846818, 0.260631001372, -0.238683127572, 0.998628257888, 50.777505132,12.6835198402, 0.769104957581, 2.31446814537, 12:59:31  06-07-16
83, -0.320987654321, 0.987654320988, -0.987654320988, 1e-06, 0.87037037037, [nan], 11.0716092909, 0.859005999999, 0.296296296296, -0.153635116598, 0.998628257888, 51.1542602216,12.8555490971, 0.78120303154, 2.30381178856, 12:59:47  06-07-16
84, -0.148148148148, 0.987654320988, -0.740740740741, 1e-06, 0.12962962963, [nan], 10.9301595252, 0.867698, 0.285322359396, -0.172839506173, 0.998628257888, 51.0158532151,12.6976029873, 0.78994512558, 2.36480689049, 13:00:04  06-07-16
85, -0.0740740740741, 0.987654320988, -0.740740740741, 1e-06, 0.12962962963, [nan], 10.9109818917, 0.845847000001, 0.285322359396, -0.172839506173, 0.998628257888, 51.0158532151,13.1740090847, 0.767965078354, 2.4214758873, 13:00:21  06-07-16
86, -0.0740740740741, -0.987654320988, -0.444444444444, 1e-06, 0.117283950617, [nan], 8.06897864221, 0.841559, 0.263374485597, -0.203017832647, 0.998628257888, 50.8515436442,13.4612209797, 0.763846158981, 2.44442796707, 13:00:39  06-07-16
87, 0.0246913580247, 0.987654320988, -0.83950617284, 1e-06, 0.12962962963, [nan], 10.8064693077, 0.870584, 0.266117969822, -0.205761316872, 0.998628257888, 50.8628398319,13.3742849827, 0.793696165085, 2.49442887306, 13:00:56  06-07-16
88, -0.345679012346, 0.987654320988, -0.641975308642, 1e-06, 0.12962962963, [nan], 11.0288329298, 0.851877000001, 0.277091906722, -0.189300411523, 0.998628257888, 50.946246574,13.1742970943, 0.774283885956, 2.57346701622, 13:01:13  06-07-16
89, -0.222222222222, 0.987654320988, -0.469135802469, 1e-06, 0.12962962963, [nan], 10.9415444395, 0.854933999999, 0.279835390947, -0.186556927298, 0.998628257888, 50.9649187674,13.1090290546, 0.777334928513, 2.798153162, 13:01:31  06-07-16
90, -0.320987654321, 0.987654320988, -0.79012345679, 1e-06, 0.12962962963, [nan], 11.0384088485, 0.853429999999, 0.288065843621, -0.186556927298, 0.998628257888, 51.0085428467,13.3577618599, 0.776610136032, 2.67922902107, 13:01:48  06-07-16
